Bill_Id,Status,Customer,Contact,Address,Load_Type,Port_of_departure,Port_of_destination,Weight,Cube,Pieces,Tariff,Additional_service_Code,create_date,create_user,rate_id,FRT,ACC,DEST,CCS,CONS,CARGO,HAZ,LONG_Length,OVR_WGT,Total_Charge,rate_Date,rate_User
15015,PEND,POV Private,Steven,"Seattle, US",Unit,HON,SEA,1000,66,2,1E,HAZ,1/12/2014,userHaz,15015,80,5,0,2.03,0,9,7.08,0,0,103.11,1/17/2014,pcr
15016,PEND,POV Public,Edward,"Los Angeles, US",Unit,HON,LAX,1000,100,1,2034A,,1/13/2014,matt,15016,40,5,0,2.03,0,0,0,0,0,47.03,1/18/2014,pcr
15017,PEND,POV GATES,Edward,"Los Angeles, US",Container,HON,LAX,1000,100,1,554I,,1/14/2014,achadaluri,15017,80,10.29,0,2.03,0,0,0,0,0,92.32,1/19/2014,nnoor
45014,PEND,POV Private,Steven,"Los Angeles, US",Container,SEA,LAX,1000,100,1,587E,,1/15/2014,achadaluri,45014,80,10.29,0,2.03,0,0,0,0,0,92.32,1/20/2014,nnoor
45017,PEND,Alex Corp,Alex,"Los Angeles, US",Container,SHA,LAX,1000,100,1,554I,,1/16/2014,achadaluri,45017,80,10.29,0,2.03,0,0,0,0,0,92.32,1/21/2014,nnoor
45018,PEND,POV Private,Sam,"Sydney, Australia",Unit,ANK,SYD,1000,100,1,IND,LDS,1/17/2014,rhodes,45018,40,5,8.03,2.03,0,0,100,0,0,155.06,1/22/2014,pcr
45019,PEND,POV Private,Pavan,"Shanghai, China",Unit,OAK,SHA,1000,100,1,IND,,1/17/2014,rhodes,45019,40,5,4.09,2.03,0,0,0,0,0,51.12,1/22/2014,mshahab
45020,PEND,Alex Corp,Sagar,"Los Angeles, US",Unit,OAK,LAX,1000,100,1,2034A,REF,1/19/2014,matt,45020,40,5,0,2.03,0,0,80,0,0,127.03,1/24/2014,pcr
45021,PEND,One timer 3,Edward,"Anchorage, US",Unit,HON,ANK,1000,100,2,1AK,,1/20/2014,achadaluri,45021,80,5,2,2.03,0,9,0,0,0,98.03,1/25/2014,pcr
45022,PEND,POV Private,Chaitanya,"Honolulu, US",Unit,SHA,HON,1000,100,1,1e,,1/21/2014,achadaluri,45022,40,5,0,2.03,0,0,0,0,0,47.03,1/26/2014,rnoor
18000,PEND,POV Private,Steven,"Anchorage, US",Container,HON,ANK,1384473,0,7,587E,,1/20/2014,achadaluri,18000,"775,304.88",10.29,2,2.03,0,0,0,0,0,"775,319.20",1/25/2014,nnoor
18001,PEND,POV Private,Steven,"Anchorage, US",Container,HON,ANK,1385342,88,2,587E,,1/20/2014,achadaluri,18001,"221,654.72",10.29,2,2.03,0,0,0,0,0,"221,669.04",1/25/2014,nnoor
18002,PEND,POV Private,Steven,"Anchorage, US",Container,HON,ANK,1385532,0,11,587E,,1/20/2014,achadaluri,18002,"1,219,268.16",10.29,2,2.03,0,0,0,0,0,"1,219,282.48",1/25/2014,nnoor
18003,PEND,POV Private,Steven,"Anchorage, US",Container,OAK,ANK,1385835,0,0,587E,,1/20/2014,achadaluri,18003,"110,866.80",10.29,2,2.03,0,0,0,0,0,"110,881.12",1/25/2014,nnoor
18004,PEND,POV Private,Steven,"Anchorage, US",Container,OAK,ANK,1386053,0,0,587E,,1/20/2014,achadaluri,18004,"110,884.24",10.29,2,2.03,0,0,0,0,0,"110,898.56",1/25/2014,nnoor
18006,PEND,POV Private,Steven,"Anchorage, US",Container,OAK,ANK,1392609,0,0,587E,,1/20/2014,achadaluri,18006,"111,408.72",10.29,2,2.03,0,0,0,0,0,"111,423.04",1/25/2014,nnoor
18007,PEND,POV Private,Steven,"Anchorage, US",Container,OAK,ANK,1392609,0,0,587E,,1/20/2014,achadaluri,18007,"111,408.72",10.29,2,2.03,0,0,0,0,0,"111,423.04",1/25/2014,nnoor
18008,PEND,POV Private,Steven,"Anchorage, US",Container,OAK,ANK,1392810,0,0,587E,,1/20/2014,achadaluri,18008,"111,424.80",10.29,2,2.03,0,0,0,0,0,"111,439.12",1/25/2014,nnoor
18009,PEND,POV Private,Steven,"Anchorage, US",Container,OAK,ANK,1393060,0,0,587E,,1/20/2014,achadaluri,18009,"111,444.80",10.29,2,2.03,0,0,0,0,0,"111,459.12",1/25/2014,nnoor
